epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,54.6249,0.96845,4.41318,1.28417,0.03333,0.5,0.24875,0.199,0.75262,3.8782,1.03664,0.000330562,0.000110187,0.000330562,0.000110187,0.000330562,0.000110187,0.000330562,0.000110187
84,55.3266,1.07036,4.49267,1.338,0.025,0.5,0.24875,0.11194,0.76421,3.87964,1.05546,0.000316992,0.000105664,0.000316992,0.000105664,0.000316992,0.000105664,0.000316992,0.000105664
85,55.7129,1.03261,4.49528,1.39343,0.025,0.5,0.24875,0.11194,0.76421,3.87964,1.05546,0.000302999,0.000101,0.000302999,0.000101,0.000302999,0.000101,0.000302999,0.000101
86,56.1357,1.03967,4.46558,1.38116,0.025,0.5,0.24875,0.11194,0.76421,3.87964,1.05546,0.000288581,9.61937e-05,0.000288581,9.61937e-05,0.000288581,9.61937e-05,0.000288581,9.61937e-05
87,56.5316,1.0575,4.5055,1.3207,0.025,0.5,0.24875,0.11194,0.76421,3.87964,1.05546,0.000273739,9.12463e-05,0.000273739,9.12463e-05,0.000273739,9.12463e-05,0.000273739,9.12463e-05
88,57.2272,0.90759,4.37886,1.297,0.02632,0.5,0.16583,0.13267,0.91861,3.88171,1.08443,0.000258473,8.61577e-05,0.000258473,8.61577e-05,0.000258473,8.61577e-05,0.000258473,8.61577e-05
89,57.6242,1.01713,4.39695,1.32276,0.02632,0.5,0.16583,0.13267,0.91861,3.88171,1.08443,0.000242783,8.09276e-05,0.000242783,8.09276e-05,0.000242783,8.09276e-05,0.000242783,8.09276e-05
90,58.0362,1.02409,4.41247,1.37045,0.02632,0.5,0.16583,0.13267,0.91861,3.88171,1.08443,0.000226669,7.55562e-05,0.000226669,7.55562e-05,0.000226669,7.55562e-05,0.000226669,7.55562e-05
91,58.4491,0.68146,3.95435,1.04385,0.02632,0.5,0.16583,0.13267,0.91861,3.88171,1.08443,0.00021013,7.00434e-05,0.00021013,7.00434e-05,0.00021013,7.00434e-05,0.00021013,7.00434e-05
92,59.1267,0.76071,3.8234,1.19481,0.025,0.5,0.12437,0.04779,0.91825,3.8798,1.06263,0.000193168,6.43892e-05,0.000193168,6.43892e-05,0.000193168,6.43892e-05,0.000193168,6.43892e-05
93,59.5286,0.6511,3.86018,1.20861,0.025,0.5,0.12437,0.04779,0.91825,3.8798,1.06263,0.000175781,5.85937e-05,0.000175781,5.85937e-05,0.000175781,5.85937e-05,0.000175781,5.85937e-05
94,59.9376,0.64336,3.88828,1.18496,0.025,0.5,0.12437,0.04779,0.91825,3.8798,1.06263,0.00015797,5.26568e-05,0.00015797,5.26568e-05,0.00015797,5.26568e-05,0.00015797,5.26568e-05
95,60.3273,0.64947,3.81089,1.23188,0.025,0.5,0.12437,0.04779,0.91825,3.8798,1.06263,0.000139736,4.65785e-05,0.000139736,4.65785e-05,0.000139736,4.65785e-05,0.000139736,4.65785e-05
96,61.0557,0.80215,3.86058,1.06444,0.025,0.5,0.02764,0.00553,0.95813,3.88411,1.08765,0.000121077,4.03589e-05,0.000121077,4.03589e-05,0.000121077,4.03589e-05,0.000121077,4.03589e-05
97,61.4591,0.73269,3.88098,1.10408,0.025,0.5,0.02764,0.00553,0.95813,3.88411,1.08765,0.000101993,3.39978e-05,0.000101993,3.39978e-05,0.000101993,3.39978e-05,0.000101993,3.39978e-05
98,61.8468,0.64242,3.91247,1.17147,0.025,0.5,0.02764,0.00553,0.95813,3.88411,1.08765,8.24863e-05,2.74954e-05,8.24863e-05,2.74954e-05,8.24863e-05,2.74954e-05,8.24863e-05,2.74954e-05
99,62.2404,0.65011,3.88172,1.25873,0.025,0.5,0.02764,0.00553,0.95813,3.88411,1.08765,6.2555e-05,2.08517e-05,6.2555e-05,2.08517e-05,6.2555e-05,2.08517e-05,6.2555e-05,2.08517e-05
100,62.9436,0.67643,4.00683,1.15481,0.05903,1,0.12814,0.03091,0.91676,3.87096,0.99923,4.21995e-05,1.40665e-05,4.21995e-05,1.40665e-05,4.21995e-05,1.40665e-05,4.21995e-05,1.40665e-05
